Transaction ID,Day,Month,Year,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model
18,1/13/1900,1/9/1900,7/13/1905,Thu,Xiaomi,1,51293.14,Anand Pillai,30,Delhi,Cash,3,Redmi Note 10
19,1/13/1900,1/9/1900,7/13/1905,Thursday,Xiaomi,5,57100.41,Kiran Rawat,18,Mumbai,Credit Card,4,Redmi Note 10
20,1/13/1900,1/9/1900,7/13/1905,Thursday,Xiaomi,4,57717.27,Harish Kaur,30,Mumbai,Credit Card,5,Redmi Note 10
21,1/14/1900,1/9/1900,7/13/1905,Friday,Xiaomi,9,18129.67,Manoj Luthra,44,Coimbatore,UPI,4,Mi 11
22,1/14/1900,1/9/1900,7/13/1905,Friday,Vivo,9,36854.2,Jyoti Roy,24,Vadodara,Credit Card,5,Vivo S1
23,1/14/1900,1/9/1900,7/13/1905,Fri,Vivo,5,59765.73,Rajesh Sheth,20,Kolkata,Credit Card,5,Vivo S1
24,1/15/1900,1/9/1900,7/13/1905,Saturday,Xiaomi,4,28160.75,Mala Ghosh,42,Mumbai,Cash,5,Redmi Note 10
25,1/15/1900,1/9/1900,7/13/1905,Saturday,OnePlus,7,38064.92,Reena Teja,50,Delhi,UPI,2,OnePlus Nord
26,1/15/1900,1/9/1900,7/13/1905,Saturday,Samsung,6,26367.63,Bhavana Dutta,57,Delhi,UPI,5,Galaxy Note 20
27,1/16/1900,1/9/1900,7/13/1905,Sunday,Samsung,4,37813.09,Yogesh Ahuja,34,Delhi,Cash,4,Galaxy A51
28,1/16/1900,1/9/1900,7/13/1905,Sunday,OnePlus,2,63270.28,Isha Desai,31,Vadodara,Debit Card,4,OnePlus 9
29,1/16/1900,1/9/1900,7/13/1905,Sunday,Xiaomi,1,37307.45,Tapan Shah,54,Delhi,Cash,4,Redmi 9
30,1/17/1900,1/9/1900,7/13/1905,Mon,Vivo,4,43354.72,Vinod Pathak,40,Delhi,Cash,5,Vivo Y51
31,1/17/1900,1/9/1900,7/13/1905,Monday,Samsung,4,34238.58,Bhavana Siddiqui,41,Ludhiana,Debit Card,2,Galaxy Note 20
32,1/17/1900,1/9/1900,7/13/1905,Monday,Apple,1,37607.03,Meena Mathur,46,Mumbai,Credit Card,5,iPhone SE
33,1/17/1900,1/9/1900,7/13/1905,Monday,Apple,6,10910.45,Sumit Pillai,55,Rajkot,UPI,3,iPhone SE
34,1/18/1900,1/9/1900,7/13/1905,Tuesday,OnePlus,4,27024.73,Vinod Dutta,44,Mumbai,UPI,5,OnePlus 9
35,1/18/1900,1/9/1900,7/13/1905,Tuesday,Xiaomi,1,36194.9,Shruti Bhatnagar,55,Kanpur,Debit Card,4,Redmi Note 10
36,1/18/1900,1/9/1900,7/13/1905,Tuesday,Samsung,1,48027.82,Pankaj Shah,57,Kolkata,UPI,3,Galaxy S21
37,1/19/1900,1/9/1900,7/13/1905,Wednesday,Xiaomi,1,37003.12,Deepika Verma,40,Coimbatore,Debit Card,3,Redmi 9
38,1/19/1900,1/9/1900,7/13/1905,Wednesday,Samsung,8,30269.02,Sanjay Joshi,48,Ludhiana,Credit Card,5,Galaxy Note 20
39,1/19/1900,1/9/1900,7/13/1905,Wednesday,OnePlus,8,33285.92,Umesh Goyal,53,Delhi,Debit Card,5,OnePlus 8T
40,1/20/1900,1/9/1900,7/13/1905,Thursday,OnePlus,2,24537.6,Rajesh Verma,34,Delhi,UPI,5,OnePlus Nord
41,1/20/1900,1/9/1900,7/13/1905,Thursday,Apple,7,65469.66,Pooja Rao,54,Delhi,UPI,5,iPhone 11
42,1/20/1900,1/9/1900,7/13/1905,Thursday,Xiaomi,8,41304.59,Jyoti Mishra,20,Mumbai,Debit Card,2,Mi 11
43,1/21/1900,1/9/1900,7/13/1905,Friday,Apple,8,10804.57,Sachin Desai,53,Ludhiana,UPI,5,iPhone SE
44,1/21/1900,1/9/1900,7/13/1905,Friday,Xiaomi,7,11166.78,Manoj Jain,22,Rajkot,Debit Card,5,Mi 11
45,1/21/1900,1/9/1900,7/13/1905,Friday,Apple,5,68377.7,Deepika Shah,32,Chennai,UPI,5,iPhone SE
46,1/22/1900,1/9/1900,7/13/1905,Saturday,Vivo,1,23287.05,Priyanka Pillai,23,Madurai,Cash,5,Vivo V20
47,1/22/1900,1/9/1900,7/13/1905,Saturday,Vivo,9,58336.5,Pooja Arora,27,Delhi,Credit Card,5,Vivo Y51
48,1/22/1900,1/9/1900,7/13/1905,Saturday,Vivo,7,13496.52,Tanuja Prasad,49,Bhopal,UPI,5,Vivo S1
49,1/22/1900,1/9/1900,7/13/1905,Sat,Vivo,2,65269.76,Monika Thakur,40,Mumbai,UPI,5,Vivo Y51
50,1/23/1900,1/9/1900,7/13/1905,Sun,Samsung,6,62465.02,Anand Nair,34,Madurai,UPI,2,Galaxy Note 20
51,1/23/1900,1/9/1900,7/13/1905,Sun,Vivo,2,44265.59,Vinod Kaur,37,Ranchi,Debit Card,5,Vivo V20
52,1/23/1900,1/9/1900,7/13/1905,Sun,OnePlus,1,10539.92,Yogesh Roy,58,Delhi,UPI,5,OnePlus Nord
53,1/24/1900,1/9/1900,7/13/1905,Mon,OnePlus,7,25468.65,Krishna Mehta,32,Lucknow,Debit Card,5,OnePlus 9
54,1/24/1900,1/9/1900,7/13/1905,Monday,Samsung,2,34409.36,Mala Malhotra,39,Bhopal,UPI,2,Galaxy Note 20
55,1/24/1900,1/9/1900,7/13/1905,Monday,Vivo,2,37603.85,Sunita Thakur,23,Mumbai,Cash,2,Vivo Y51
56,1/24/1900,1/9/1900,7/13/1905,Monday,Vivo,5,27860.73,Kavita Sheth,21,Delhi,Cash,5,Vivo Y51
57,1/25/1900,1/9/1900,7/13/1905,Tuesday,Vivo,5,11976.87,Anjali Roy,40,Kolkata,Credit Card,5,Vivo S1
58,1/25/1900,1/9/1900,7/13/1905,Tuesday,Apple,7,45407.64,Shruti Dutta,36,Delhi,Debit Card,4,iPhone 12
59,1/25/1900,1/9/1900,7/13/1905,Tue,Xiaomi,1,41449.28,Devendra Jain,48,Kanpur,Credit Card,5,Redmi 9
60,1/25/1900,1/9/1900,7/13/1905,Tue,Apple,8,26980.04,Jyoti Bhattacharya,20,Kanpur,UPI,2,iPhone 11
61,1/26/1900,1/9/1900,7/13/1905,Wed,Xiaomi,3,12278.56,Kavita Srivastava,45,Mumbai,UPI,4,Redmi Note 10
62,1/26/1900,1/9/1900,7/13/1905,Wed,Vivo,4,69675.65,Radha Mathur,20,Madurai,Cash,5,Vivo Y51
63,1/26/1900,1/9/1900,7/13/1905,Wed,Vivo,9,38919.17,Lata Shah,31,Gorakhpur,Credit Card,5,Vivo V20
64,1/26/1900,1/9/1900,7/13/1905,Wed,Apple,4,55360.25,Sumit Ghosh,35,Ludhiana,UPI,4,iPhone SE
65,1/27/1900,1/9/1900,7/13/1905,Thu,Apple,5,37138.84,Tanuja Dutta,44,Kanpur,UPI,5,iPhone SE
66,1/27/1900,1/9/1900,7/13/1905,Thu,Xiaomi,7,12590.22,Ramesh Kumar,27,Ludhiana,Debit Card,4,Redmi 9
67,1/27/1900,1/9/1900,7/13/1905,Thu,OnePlus,4,28576.04,Sunil Luthra,32,Indore,UPI,5,OnePlus Nord
68,1/28/1900,1/9/1900,7/13/1905,Fri,Xiaomi,1,29206.61,Kavita Solanki,36,Kanpur,Credit Card,5,Redmi 9
69,1/28/1900,1/9/1900,7/13/1905,Fri,Apple,9,60301.17,Meena Thakur,26,Chennai,Cash,5,iPhone 12
70,1/28/1900,1/9/1900,7/13/1905,Friday,Apple,4,49253.8,Pooja Reddy,21,Delhi,Cash,5,iPhone 12
71,1/28/1900,1/9/1900,7/13/1905,Friday,Samsung,9,26525.79,Ayesha Ghosh,32,Ranchi,UPI,3,Galaxy Note 20
72,1/29/1900,1/9/1900,7/13/1905,Saturday,Apple,6,68064.4,Yogesh Ahuja,25,Patna,UPI,4,iPhone 12
73,1/29/1900,1/9/1900,7/13/1905,Saturday,Samsung,1,29292.51,Nikhil Bhattacharya,18,Delhi,UPI,5,Galaxy Note 20
74,1/29/1900,1/9/1900,7/13/1905,Saturday,OnePlus,3,69894.04,Sunil Das,24,Delhi,Debit Card,4,OnePlus Nord
75,1/30/1900,1/9/1900,7/13/1905,Sunday,Xiaomi,2,69769.82,Shruti Iyer,48,Mumbai,UPI,3,Redmi Note 10
76,1/30/1900,1/9/1900,7/13/1905,Sunday,Xiaomi,9,21472.63,Sunita Arora,35,Mumbai,UPI,5,Redmi Note 10
77,1/30/1900,1/9/1900,7/13/1905,Sunday,Samsung,1,28764.47,Deepika Deshmukh,29,Mumbai,Debit Card,3,Galaxy A51
78,1/30/1900,1/9/1900,7/13/1905,Sunday,Xiaomi,9,39162.65,Kiran Malhotra,47,Chennai,Credit Card,2,Redmi 9
79,12/31/1899,1/10/1900,7/13/1905,Monday,Apple,9,49846.04,Bina Mishra,50,Lucknow,Debit Card,3,iPhone SE
80,12/31/1899,1/10/1900,7/13/1905,Monday,Vivo,8,41682.85,Monika Srivastava,24,Chennai,Cash,5,Vivo Y51
81,12/31/1899,1/10/1900,7/13/1905,Monday,Samsung,8,68166.49,Prashant Dutta,45,Gorakhpur,Debit Card,5,Galaxy Note 20
82,12/31/1899,1/10/1900,7/13/1905,Monday,Xiaomi,1,53439.35,Vinod Pathak,20,Bhopal,Debit Card,5,Redmi Note 10
83,1/1/1900,1/10/1900,7/13/1905,Tuesday,Samsung,8,22722.69,Sunil Luthra,23,Delhi,Credit Card,4,Galaxy A51
84,1/1/1900,1/10/1900,7/13/1905,Tuesday,Samsung,3,16305.85,Sunil Kapoor,48,Delhi,Credit Card,2,Galaxy S21
85,1/1/1900,1/10/1900,7/13/1905,Tuesday,Vivo,7,51304.08,Namita Roy,55,Delhi,UPI,4,Vivo S1
86,1/1/1900,1/10/1900,7/13/1905,Tuesday,Apple,1,19507.15,Sneha Mishra,32,Bangalore,Debit Card,5,iPhone SE
87,1/2/1900,1/10/1900,7/13/1905,Wednesday,Samsung,1,57260.61,Sanjay Bhattacharya,24,Patna,Credit Card,5,Galaxy A51
88,1/2/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,5,28662.2,Sneha Rao,47,Delhi,Cash,3,Redmi 9
89,1/2/1900,1/10/1900,7/13/1905,Wednesday,OnePlus,5,29613.6,Namita Bhatnagar,44,Delhi,UPI,5,OnePlus Nord
90,1/2/1900,1/10/1900,7/13/1905,Wednesday,Samsung,8,10647.9,Pooja Roy,34,Delhi,Debit Card,5,Galaxy Note 20
91,1/3/1900,1/10/1900,7/13/1905,Thursday,Samsung,7,52060.68,Devendra Jain,35,Jodhpur,Cash,5,Galaxy S21
92,1/3/1900,1/10/1900,7/13/1905,Thursday,Vivo,8,16796.19,Neeta Sharma,39,Bangalore,Credit Card,5,Vivo S1
93,1/3/1900,1/10/1900,7/13/1905,Thursday,Apple,6,56372.83,Sumit Sheth,43,Indore,UPI,3,iPhone 11
94,1/3/1900,1/10/1900,7/13/1905,Thursday,OnePlus,6,39512.07,Bina Deshmukh,44,Mumbai,Cash,4,OnePlus 8T
95,1/4/1900,1/10/1900,7/13/1905,Friday,Xiaomi,2,57056.79,Ravi Arora,57,Mumbai,Debit Card,2,Redmi 9
96,1/4/1900,1/10/1900,7/13/1905,Friday,OnePlus,6,45035.59,Anjali Pathak,41,Ranchi,Cash,4,OnePlus Nord
97,1/4/1900,1/10/1900,7/13/1905,Friday,Xiaomi,5,14946,Rajesh Menon,25,Madurai,UPI,3,Mi 11
98,1/4/1900,1/10/1900,7/13/1905,Friday,Apple,3,55939.14,Reena Chatterjee,38,Hyderabad,Debit Card,5,iPhone SE
99,1/5/1900,1/10/1900,7/13/1905,Saturday,Xiaomi,6,14187.97,Nikhil Pathak,46,Patna,Debit Card,4,Mi 11
100,1/5/1900,1/10/1900,7/13/1905,Saturday,Vivo,8,38722.1,Krishna Bhattacharya,38,Gorakhpur,Cash,2,Vivo S1
101,1/5/1900,1/10/1900,7/13/1905,Saturday,Vivo,9,20340.95,Ayesha Thakur,20,Indore,UPI,3,Vivo Y51
102,1/5/1900,1/10/1900,7/13/1905,Saturday,Vivo,1,55140.11,Bina Nair,48,Ludhiana,Debit Card,5,Vivo S1
103,1/6/1900,1/10/1900,7/13/1905,Sunday,Vivo,3,64695.47,Krishna Malhotra,44,Vadodara,UPI,3,Vivo Y51
104,1/6/1900,1/10/1900,7/13/1905,Sunday,OnePlus,3,43247.57,Mala Das,44,Gorakhpur,Credit Card,5,OnePlus 9
105,1/6/1900,1/10/1900,7/13/1905,Sunday,Apple,8,41628.84,Anita Bhattacharya,26,Ranchi,Cash,2,iPhone SE
106,1/6/1900,1/10/1900,7/13/1905,Sunday,Xiaomi,1,55837.79,Nikhil Solanki,50,Mumbai,UPI,3,Redmi 9
107,1/7/1900,1/10/1900,7/13/1905,Monday,Xiaomi,5,10304.73,Shruti Bhatnagar,50,Indore,Credit Card,5,Mi 11
108,1/7/1900,1/10/1900,7/13/1905,Monday,Vivo,3,65065.52,Kiran Goyal,43,Delhi,Credit Card,5,Vivo S1
109,1/7/1900,1/10/1900,7/13/1905,Monday,Vivo,2,21846.93,Kiran Prasad,45,Rajkot,UPI,3,Vivo V20
110,1/8/1900,1/10/1900,7/13/1905,Tuesday,Samsung,8,69047.13,Sunil Jain,48,Gorakhpur,UPI,5,Galaxy S21
111,1/8/1900,1/10/1900,7/13/1905,Tuesday,Apple,3,54175.24,Manoj Rathod,18,Bhopal,Cash,3,iPhone 11
112,1/8/1900,1/10/1900,7/13/1905,Tuesday,OnePlus,7,56455.07,Tapan Gupta,37,Gorakhpur,Cash,5,OnePlus 8T
113,1/9/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,1,49372.18,Anjali Pathak,29,Delhi,Debit Card,3,Redmi 9
114,1/9/1900,1/10/1900,7/13/1905,Wednesday,Samsung,6,38299.79,Isha Desai,34,Kanpur,Cash,5,Galaxy Note 20
115,1/9/1900,1/10/1900,7/13/1905,Wednesday,Samsung,3,44297.66,Vinod Goyal,32,Mumbai,UPI,4,Galaxy S21
116,1/9/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,8,12784.17,Krishna Rathod,51,Delhi,Debit Card,3,Redmi Note 10
117,1/10/1900,1/10/1900,7/13/1905,Thursday,OnePlus,6,47437.57,Jyoti Alva,33,Delhi,Credit Card,5,OnePlus Nord
118,1/10/1900,1/10/1900,7/13/1905,Thursday,Samsung,2,47565.89,Pankaj Mehta,21,Delhi,Credit Card,3,Galaxy S21
119,1/10/1900,1/10/1900,7/13/1905,Thursday,Samsung,6,63472.05,Anjali Srivastava,25,Gorakhpur,UPI,5,Galaxy Note 20
120,1/10/1900,1/10/1900,7/13/1905,Thursday,Apple,7,40339.38,Anita Pathak,51,Chennai,Debit Card,2,iPhone SE
121,1/11/1900,1/10/1900,7/13/1905,Friday,OnePlus,5,14628.66,Arun Verma,42,Kolkata,Debit Card,3,OnePlus Nord
122,1/11/1900,1/10/1900,7/13/1905,Friday,Samsung,3,28371.76,Yogesh Luthra,32,Hyderabad,Cash,5,Galaxy A51
123,1/11/1900,1/10/1900,7/13/1905,Friday,OnePlus,4,49337.76,Sachin Joshi,45,Mumbai,Credit Card,5,OnePlus 8T
124,1/11/1900,1/10/1900,7/13/1905,Friday,Xiaomi,4,24355.53,Sumit Arora,26,Delhi,Credit Card,2,Redmi 9
125,1/12/1900,1/10/1900,7/13/1905,Saturday,Vivo,6,26831.67,Sunil Rawat,19,Delhi,Cash,3,Vivo S1
126,1/12/1900,1/10/1900,7/13/1905,Saturday,Samsung,1,59228.14,Pankaj Desai,34,Rajkot,Credit Card,4,Galaxy S21
127,1/12/1900,1/10/1900,7/13/1905,Saturday,Apple,4,45059.18,Kiran Solanki,27,Delhi,Cash,5,iPhone 12
128,1/13/1900,1/10/1900,7/13/1905,Sunday,Xiaomi,4,40511.65,Prashant Luthra,26,Madurai,Credit Card,5,Redmi 9
129,1/13/1900,1/10/1900,7/13/1905,Sunday,OnePlus,1,29107.12,Meena Mathur,48,Rajkot,Credit Card,5,OnePlus 8T
130,1/13/1900,1/10/1900,7/13/1905,Sunday,Xiaomi,9,53855.68,Kavita Patel,19,Chennai,Credit Card,5,Mi 11
131,1/13/1900,1/10/1900,7/13/1905,Sunday,Samsung,4,27263.11,Sanjay Pathak,41,Jodhpur,Cash,3,Galaxy Note 20
132,1/14/1900,1/10/1900,7/13/1905,Monday,OnePlus,7,54223.81,Ravi Ghosh,36,Ranchi,Credit Card,5,OnePlus 8T
133,1/14/1900,1/10/1900,7/13/1905,Monday,Vivo,3,14206.09,Vinod Joshi,34,Coimbatore,Credit Card,3,Vivo V20
134,1/14/1900,1/10/1900,7/13/1905,Monday,Xiaomi,3,61872.48,Tanuja Goyal,27,Mumbai,Debit Card,4,Mi 11
135,1/15/1900,1/10/1900,7/13/1905,Tuesday,Samsung,8,39973.99,Pankaj Desai,45,Mumbai,Credit Card,3,Galaxy Note 20
136,1/15/1900,1/10/1900,7/13/1905,Tuesday,Apple,8,36310.48,Isha Desai,55,Delhi,UPI,3,iPhone SE
137,1/15/1900,1/10/1900,7/13/1905,Tuesday,OnePlus,1,46661.4,Krishna Jain,45,Bangalore,Credit Card,3,OnePlus 8T
138,1/16/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,2,47451.52,Tanuja Mathur,18,Delhi,Credit Card,5,Mi 11
139,1/16/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,8,17922.11,Anand Kapoor,20,Mumbai,Debit Card,2,Mi 11
140,1/16/1900,1/10/1900,7/13/1905,Wednesday,Vivo,1,55374.02,Neeta Kulkarni,32,Mumbai,Debit Card,5,Vivo Y51
141,1/17/1900,1/10/1900,7/13/1905,Thursday,Vivo,8,26555.7,Sachin Varma,27,Lucknow,Cash,5,Vivo V20
142,1/17/1900,1/10/1900,7/13/1905,Thursday,Apple,8,64297.71,Sumit Verma,38,Patna,Cash,5,iPhone SE
143,1/17/1900,1/10/1900,7/13/1905,Thursday,Apple,2,59071.04,Kavita Jain,54,Kolkata,UPI,5,iPhone 12
144,1/18/1900,1/10/1900,7/13/1905,Friday,Samsung,4,30775.96,Reena Bhatnagar,32,Gorakhpur,Debit Card,5,Galaxy A51
145,1/18/1900,1/10/1900,7/13/1905,Friday,Samsung,6,58464.36,Anjali Ahuja,40,Mumbai,Cash,5,Galaxy A51
146,1/18/1900,1/10/1900,7/13/1905,Friday,Apple,9,31383.43,Prashant Teja,31,Mumbai,Cash,5,iPhone SE
147,1/19/1900,1/10/1900,7/13/1905,Saturday,Apple,8,16056.86,Rajesh Kaur,32,Indore,Cash,5,iPhone SE
148,1/19/1900,1/10/1900,7/13/1905,Saturday,OnePlus,8,67713.29,Anita Prasad,27,Ludhiana,Debit Card,3,OnePlus 9
149,1/19/1900,1/10/1900,7/13/1905,Saturday,Vivo,7,49156.12,Mala Teja,26,Delhi,Debit Card,5,Vivo S1
150,1/19/1900,1/10/1900,7/13/1905,Saturday,Samsung,9,37365.97,Tanuja Goyal,56,Delhi,UPI,4,Galaxy Note 20
151,1/20/1900,1/10/1900,7/13/1905,Sunday,Vivo,2,33866.4,Reena Rao,22,Ranchi,Debit Card,5,Vivo Y51
152,1/20/1900,1/10/1900,7/13/1905,Sunday,Vivo,3,29482.32,Tanuja Shah,42,Coimbatore,Debit Card,5,Vivo S1
153,1/20/1900,1/10/1900,7/13/1905,Sunday,Apple,8,68886.86,Radha Jain,59,Hyderabad,Debit Card,5,iPhone 11
154,1/20/1900,1/10/1900,7/13/1905,Sunday,OnePlus,6,18084.84,Monika Ahuja,43,Delhi,UPI,5,OnePlus 8T
155,1/21/1900,1/10/1900,7/13/1905,Monday,Xiaomi,9,28888.3,Kavita Goyal,25,Ludhiana,Credit Card,5,Redmi 9
156,1/21/1900,1/10/1900,7/13/1905,Monday,OnePlus,4,39129.86,Priya Roy,39,Coimbatore,Credit Card,5,OnePlus Nord
157,1/21/1900,1/10/1900,7/13/1905,Monday,OnePlus,8,38679.97,Pooja Dutta,42,Delhi,Cash,5,OnePlus Nord
158,1/21/1900,1/10/1900,7/13/1905,Monday,Vivo,3,38281.99,Namita Das,29,Gorakhpur,Credit Card,5,Vivo V20
159,1/22/1900,1/10/1900,7/13/1905,Tuesday,OnePlus,3,20547.03,Nikhil Bhatnagar,26,Kolkata,Credit Card,3,OnePlus Nord
160,1/22/1900,1/10/1900,7/13/1905,Tuesday,Samsung,8,18695.95,Sanjay Sheth,27,Patna,UPI,4,Galaxy A51
161,1/22/1900,1/10/1900,7/13/1905,Tuesday,Vivo,5,25286.06,Radha Rao,27,Madurai,UPI,5,Vivo V20
162,1/22/1900,1/10/1900,7/13/1905,Tuesday,Samsung,3,64871.57,Lata Iyer,26,Mumbai,Credit Card,5,Galaxy Note 20
163,1/23/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,1,16783.18,Ravi Arora,43,Mumbai,Credit Card,3,Redmi Note 10
164,1/23/1900,1/10/1900,7/13/1905,Wednesday,Vivo,3,55445.51,Namita Desai,52,Mumbai,Credit Card,5,Vivo Y51
165,1/23/1900,1/10/1900,7/13/1905,Wednesday,Xiaomi,9,55452.9,Pooja Joshi,44,Ludhiana,Cash,5,Redmi Note 10
166,1/23/1900,1/10/1900,7/13/1905,Wednesday,Vivo,5,58586.22,Reena Deshmukh,48,Delhi,UPI,5,Vivo S1
167,1/24/1900,1/10/1900,7/13/1905,Thursday,Apple,2,63196.93,Pooja Thakur,36,Delhi,Credit Card,5,iPhone 12
168,1/24/1900,1/10/1900,7/13/1905,Thursday,OnePlus,7,25782.17,Bhavana Kapoor,55,Mumbai,Debit Card,5,OnePlus Nord
169,1/24/1900,1/10/1900,7/13/1905,Thursday,Apple,2,23473.57,Namita Desai,23,Lucknow,Credit Card,5,iPhone 11
170,1/25/1900,1/10/1900,7/13/1905,Friday,Xiaomi,4,37930.34,Amit Dutta,32,Vadodara,Debit Card,5,Redmi 9
171,1/25/1900,1/10/1900,7/13/1905,Friday,OnePlus,7,25905.35,Sanjay Bhattacharya,46,Delhi,Cash,5,OnePlus 9
172,1/25/1900,1/10/1900,7/13/1905,Friday,Vivo,4,54058.6,Shruti Chaudhary,22,Delhi,Debit Card,5,Vivo V20
173,1/25/1900,1/10/1900,7/13/1905,Friday,OnePlus,7,48156.37,Sumit Reddy,31,Patna,UPI,5,OnePlus 8T
174,1/26/1900,1/10/1900,7/13/1905,Saturday,Samsung,7,62499.26,Bina Goyal,19,Indore,Cash,5,Galaxy A51
175,1/26/1900,1/10/1900,7/13/1905,Saturday,OnePlus,1,14964.3,Anita Prasad,40,Chennai,Cash,5,OnePlus 8T
176,1/26/1900,1/10/1900,7/13/1905,Saturday,Samsung,6,64905,Reena Dutta,36,Bangalore,Credit Card,5,Galaxy A51
177,1/26/1900,1/10/1900,7/13/1905,Saturday,OnePlus,9,27600.92,Vivek Srivastava,41,Coimbatore,Cash,3,OnePlus Nord
178,1/27/1900,1/10/1900,7/13/1905,Sunday,Samsung,2,39441.66,Kavita Desai,37,Delhi,Cash,5,Galaxy Note 20
179,1/27/1900,1/10/1900,7/13/1905,Sunday,Xiaomi,3,36316.69,Anjali Thakur,44,Mumbai,Debit Card,5,Mi 11
180,1/27/1900,1/10/1900,7/13/1905,Sunday,Apple,5,55618.7,Vijay Sheth,41,Delhi,Credit Card,4,iPhone SE
181,1/28/1900,1/10/1900,7/13/1905,Monday,Vivo,9,35220,Vivek Nair,34,Gorakhpur,UPI,5,Vivo Y51
182,1/28/1900,1/10/1900,7/13/1905,Monday,OnePlus,4,66613.19,Sneha Jain,42,Delhi,Credit Card,4,OnePlus Nord
183,1/28/1900,1/10/1900,7/13/1905,Monday,Apple,1,64152.03,Nikhil Pathak,48,Lucknow,UPI,3,iPhone 11
184,1/28/1900,1/10/1900,7/13/1905,Monday,Vivo,4,62329.67,Manoj Mehta,45,Delhi,Debit Card,5,Vivo Y51
185,1/29/1900,1/10/1900,7/13/1905,Tuesday,Vivo,6,14275.5,Lalita Patel,45,Kolkata,Cash,3,Vivo Y51
186,1/29/1900,1/10/1900,7/13/1905,Tuesday,Samsung,5,61255.48,Nikhil Jain,39,Patna,Cash,5,Galaxy S21
187,1/29/1900,1/10/1900,7/13/1905,Tuesday,Xiaomi,1,56898.13,Lata Chaudhary,22,Delhi,Credit Card,5,Mi 11
188,12/31/1899,1/11/1900,7/13/1905,Wednesday,Xiaomi,4,16210.78,Neeta Menon,59,Jodhpur,Credit Card,3,Redmi Note 10
189,12/31/1899,1/11/1900,7/13/1905,Wednesday,Apple,6,16444.86,Sachin Yadav,25,Chennai,Credit Card,3,iPhone SE
190,12/31/1899,1/11/1900,7/13/1905,Wednesday,Xiaomi,4,16069.83,Sachin Goyal,55,Bangalore,Cash,3,Redmi 9
191,12/31/1899,1/11/1900,7/13/1905,Wednesday,OnePlus,9,10679.96,Shruti Chaudhary,45,Jodhpur,Cash,5,OnePlus 8T
192,1/1/1900,1/11/1900,7/13/1905,Thursday,Xiaomi,5,42918.06,Sneha Prasad,29,Delhi,Debit Card,5,Redmi Note 10
